voiceID,meanF0_Hz,harmonics,percurssives
Marcelo,180.25334628473593,-0.0,-0.0
Marcelo,175.29572109108562,-0.0,-0.0
Marcelo,169.23798823928757,0.0,2e-06
Marcelo,174.54039533045918,-0.0,-2e-06
Marcelo,175.1109103632254,-0.0,0.0
Marcelo,172.0082093230679,-0.0,-1e-06
Marcelo,170.06913194057353,0.0,1e-06
Marcelo,174.26639083877123,0.0,1e-06
Marcelo,168.35611463110388,-0.0,0.0
Marcelo,168.3990803300149,-0.0,-0.0
Marcelo,180.8963234795172,0.0,0.0
Marcelo,172.25704713477472,0.0,1e-06
Marcelo,171.78702182169522,0.0,2e-06
Marcelo,170.4980552436494,0.0,1e-06
Marcelo,179.98163766298637,-0.0,0.0
Marcelo,176.83916339985439,-0.0,-2e-06
Marcelo,170.49526413442422,-0.0,-1e-06
Marcelo,170.49398407906247,-0.0,-1e-06
Marcelo,168.0795875418394,-0.0,-1e-06
Marcelo,171.25716672004333,-0.0,-2e-06
Marcelo,168.53532742641383,0.0,-0.0
Marcelo,169.42905588990578,-0.0,1e-06
Marcelo,172.57938867793266,0.0,3e-06
Marcelo,172.574613568628,0.0,1e-06
Marcelo,176.90572001022474,-0.0,-0.0
Marcelo,188.37910829155757,0.0,3e-06
Marcelo,175.747500496755,0.0,0.0
Marcelo,183.4501775041576,-0.0,-2e-06
Marcelo,180.2581866121004,-0.0,-1e-06
Marcelo,173.65201953291492,-0.0,-0.0
Marcelo,176.91789460768692,0.0,1e-06
Marcelo,178.2986525880692,-0.0,-1e-06
Marcelo,176.08402635584957,0.0,-1e-06
Marcelo,172.73628578069597,0.0,2e-06
Marcelo,176.4689844684901,-0.0,-2e-06
Marcelo,177.2257492036148,-0.0,-2e-06
Marcelo,181.8137819671038,0.0,2e-06
Marcelo,174.54957185915953,0.0,0.0
Marcelo,174.05371290382934,-0.0,1e-06
Marcelo,180.24060011939852,0.0,1e-06
Marcelo,178.95058093807359,0.0,0.0
Marcelo,171.27486373397025,0.0,2e-06
